2023-03-03 14:07:43,681 [AppLog] INFO : 作业写入成功：IDP_WriteImgLayerData：bpp:{1bit}灰阶:{1阶}nLayerIndex{1}LayerIndex{0}SubIndex{1}RePrintTimes{1}nBytesPerLine{2004}nWidth{16001}nHeight{7560}nXEncOff{0}nYJetOff{0}nImgStartJetIndex{0}nXDPI{1270}nYDPI{600}nPrtDir{0} nPrtFlag{1}nColorCnts{1}nReserved{System.Int32[]}
2023-03-03 14:07:43,727 [AppLog] INFO : 关闭自动供墨：DEV_EnableInkAutoSupply：ControlBit{0xX}
2023-03-03 14:07:43,727 [AppLog] INFO : 初始化墨轴1：DEM_InitAxis：{0, 0x100}
2023-03-03 14:07:43,743 [AppLog] INFO : 初始化墨轴2：DEM_InitAxis：{1, 0x1400}
2023-03-03 14:07:43,774 [AppLog] INFO : 初始化墨轴3：DEM_InitAxis：{1, 0x1400}
2023-03-03 14:07:43,774 [AppLog] INFO : 使能所有墨轴：DEM_EnableAxisRun：{true}
2023-03-03 14:07:43,790 [AppLog] INFO : 使能双Y墨轴输出同步：DEM_EnableDYOutPut：{true, true}
2023-03-03 14:07:43,805 [AppLog] INFO : 初始化墨轴1：DEM_InitAxis：{0, 0x100}
2023-03-03 14:07:43,805 [AppLog] INFO : 使能所有墨轴：DEM_EnableAxisRun：{true}
2023-03-03 14:07:43,805 [AppLog] INFO : 开启自动供墨：DEV_EnableInkAutoSupply：ControlBit{0xFF}
2023-03-03 14:07:43,837 [AppLog] INFO : 接收到起始打印指令：PrintTaskTHREAD
